Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,10273.68,10424.76,10101.01,10101.01,10101.01,29667791.0
2020-05-11,10230.51,10403.18,10057.84,10338.43,10338.43,16958066.0
2020-05-12,10208.93,10316.84,10101.01,10208.93,10208.93,25268590.0
2020-05-13,10122.59,10446.34,10057.84,10403.18,10403.18,23046022.0
2020-05-14,10273.68,10403.18,10230.51,10338.43,10338.43,15330446.0
2020-05-15,10338.43,10381.59,10101.01,10144.18,10144.18,21722896.0
2020-05-18,10554.26,10834.84,10360.01,10834.84,10834.84,33212907.0
2020-05-19,11396.01,11590.26,11244.93,11288.09,11288.09,44786710.0
2020-05-20,11223.34,11482.34,11072.26,11417.59,11417.59,27448164.0
2020-05-21,11374.43,11460.76,11266.51,11439.18,11439.18,26672890.0
2020-05-22,11374.43,11849.26,11331.26,11762.93,11762.93,41785740.0
2020-05-25,11870.84,12000.35,11719.76,11784.51,11784.51,26035987.0
2020-05-26,11806.09,12259.35,11784.51,12259.35,12259.35,27112186.0
2020-05-27,12345.68,12345.68,11741.34,11741.34,11741.34,46955604.0
2020-05-28,11870.84,11914.01,11611.84,11741.34,11741.34,33790783.0
2020-05-29,11784.51,11957.18,11655.01,11827.68,11827.68,30633303.0
2020-06-01,12000.35,12000.35,11849.26,11935.6,11935.6,18585825.0
2020-06-02,12000.35,12000.35,11633.43,11676.59,11676.59,26615417.0
2020-06-03,11676.59,11741.34,11482.34,11633.43,11633.43,27943106.0
2020-06-04,11655.01,11827.68,11482.34,11482.34,11482.34,33656027.0
2020-06-05,11439.18,11784.51,11309.68,11676.59,11676.59,31695859.0
2020-06-08,11870.84,12129.85,11784.51,11957.18,11957.18,40412900.0
2020-06-09,12065.1,12086.68,11633.43,11698.18,11698.18,43305244.0
2020-06-10,11655.01,11827.68,11503.93,11655.01,11655.01,22963342.0
2020-06-11,11590.26,11719.76,11007.51,11007.51,11007.51,53188115.0
2020-06-12,10575.84,11439.18,10575.84,11439.18,11439.18,49207501.0
2020-06-15,11352.84,11439.18,10942.76,10964.34,10964.34,26299987.0
2020-06-16,11223.34,11396.01,11072.26,11309.68,11309.68,21068571.0
2020-06-17,11309.68,11417.59,11180.18,11331.26,11331.26,16670507.0
2020-06-18,11201.76,11590.26,11158.59,11568.68,11568.68,20977019.0
2020-06-19,11655.01,11806.09,11655.01,11806.09,11806.09,24400190.0
2020-06-22,11827.68,12000.35,11633.43,11784.51,11784.51,22540447.0
2020-06-23,11784.51,11957.18,11547.09,11655.01,11655.01,27712327.0
2020-06-24,11655.01,11806.09,11568.68,11655.01,11655.01,15270469.0
2020-06-25,11525.51,12000.35,11460.76,11784.51,11784.51,57335940.0
2020-06-26,11827.68,11914.01,11655.01,11741.34,11741.34,21692339.0
2020-06-29,11611.84,11655.01,11331.26,11503.93,11503.93,28675035.0
2020-06-30,11568.68,11827.68,11460.76,11568.68,11568.68,35736402.0
2020-07-01,11655.01,11870.84,11611.84,11827.68,11827.68,26601585.0
2020-07-02,11870.84,11978.76,11827.68,11914.01,11914.01,30117697.0
2020-07-03,11957.18,11978.76,11827.68,11870.84,11870.84,19995732.0
2020-07-06,11957.18,11978.76,11849.26,11914.01,11914.01,22667068.0
2020-07-07,11978.76,12475.18,11957.18,12237.76,12237.76,66414071.0
2020-07-08,12151.43,12280.93,12043.51,12108.26,12108.26,21210556.0
2020-07-09,12129.85,12216.18,12065.1,12151.43,12151.43,18042790.0
2020-07-10,12086.68,12194.6,11914.01,11978.76,11978.76,36032163.0
2020-07-13,11892.43,12021.93,11762.93,11935.6,11935.6,34751870.0
