Date,Forecast
2025-05-08,13418.84
2025-05-09,12523.665
2025-05-10,13136.441
2025-05-11,13217.742
2025-05-12,13525.353
2025-05-13,14074.036
2025-05-14,13544.758
2025-05-15,13553.327
2025-05-16,13207.369
2025-05-17,13573.214
2025-05-18,13036.136
2025-05-19,13321.249
2025-05-20,13219.695
2025-05-21,13603.049
2025-05-22,13447.392
2025-05-23,13888.906
2025-05-24,14059.383
2025-05-25,13509.0205
2025-05-26,14061.53
2025-05-27,13166.355
2025-05-28,12872.143
2025-05-29,12442.61
2025-05-30,11786.691
2025-05-31,12146.868
2025-06-01,11656.128
2025-06-02,12551.303
2025-06-03,12777.447
2025-06-04,12910.088
2025-06-05,12706.47
2025-06-06,12181.944
2025-06-07,12754.353
2025-06-08,12812.024
2025-06-09,12889.065
2025-06-10,12945.887
2025-06-11,13298.266
2025-06-12,12426.0
2025-06-13,12510.22
2025-06-14,12219.121
2025-06-15,11323.946
2025-06-16,11901.363
2025-06-17,11927.459
2025-06-18,12520.331
2025-06-19,13210.337
2025-06-20,14095.612
2025-06-21,13200.4375
2025-06-22,13213.931
2025-06-23,13244.212
2025-06-24,13002.009
2025-06-25,12310.868
2025-06-26,11986.384
2025-06-27,12700.559
2025-06-28,12760.532
2025-06-29,13218.944
2025-06-30,14026.54
2025-07-01,13708.066
2025-07-02,13890.254
2025-07-03,12995.079
2025-07-04,13097.651
2025-07-05,12891.814
2025-07-06,13028.911
2025-07-07,12698.447
2025-07-08,13593.622
2025-07-09,13850.039
2025-07-10,13525.571
2025-07-11,13388.84
2025-07-12,12866.871
2025-07-13,12885.744
2025-07-14,12276.702
2025-07-15,13091.813
2025-07-16,12302.188
2025-07-17,12246.398
2025-07-18,13101.868
2025-07-19,13997.043
2025-07-20,13769.443
2025-07-21,13463.311
2025-07-22,13273.629
2025-07-23,13183.199
2025-07-24,13514.077
2025-07-25,13744.722
2025-07-26,13706.832
2025-07-27,13364.933
2025-07-28,12752.3545
2025-07-29,12348.095
2025-07-30,13243.27
2025-07-31,12765.415
2025-08-01,11870.24
