Date;Open;High;Low;Close     ;Adj Close    ;Volume
May 7, 2025;12,800.00;13,150.00;12,750.00;13,150.00;13,150.00;8,421,722
May 6, 2025;13,450.00;13,500.00;12,750.00;12,800.00;12,800.00;15,137,880
May 5, 2025;13,200.00;13,700.00;13,100.00;13,400.00;13,400.00;7,317,711
Apr 29, 2025;13,400.00;13,650.00;13,100.00;13,100.00;13,100.00;7,890,200
Apr 28, 2025;12,400.00;13,300.00;12,300.00;13,300.00;13,300.00;28,110,600
Apr 25, 2025;12,300.00;12,600.00;12,200.00;12,450.00;12,450.00;8,468,500
Apr 24, 2025;12,000.00;12,600.00;11,950.00;12,250.00;12,250.00;6,758,900
Apr 23, 2025;12,150.00;12,150.00;11,950.00;12,000.00;12,000.00;3,748,800
Apr 22, 2025;11,800.00;12,250.00;11,200.00;11,850.00;11,850.00;15,375,700
Apr 21, 2025;12,300.00;12,350.00;11,850.00;12,000.00;12,000.00;9,676,500
Apr 18, 2025;12,550.00;12,550.00;12,300.00;12,400.00;12,400.00;6,010,300
Apr 17, 2025;12,200.00;12,500.00;12,200.00;12,400.00;12,400.00;5,110,000
Apr 16, 2025;12,500.00;12,800.00;12,350.00;12,500.00;12,500.00;10,367,100
Apr 15, 2025;11,600.00;12,150.00;11,500.00;12,150.00;12,150.00;10,987,700
Apr 14, 2025;11,350.00;11,450.00;11,150.00;11,400.00;11,400.00;5,118,600
Apr 11, 2025;11,150.00;11,150.00;10,850.00;11,150.00;11,150.00;10,407,200
Apr 10, 2025;10,450.00;10,450.00;10,450.00;10,450.00;10,450.00;244,3
Apr 9, 2025;9,540.00;10,400.00;9,540.00;9,810.00;9,810.00;13,231,800
Apr 8, 2025;10,300.00;10,700.00;10,250.00;10,250.00;10,250.00;4,802,300
Apr 4, 2025;10,750.00;11,200.00;10,750.00;11,000.00;11,000.00;17,736,500
Apr 3, 2025;11,850.00;12,000.00;11,550.00;11,550.00;11,550.00;14,686,100
Apr 2, 2025;12,350.00;12,400.00;12,250.00;12,400.00;12,400.00;2,052,900
Apr 1, 2025;12,250.00;12,350.00;12,200.00;12,300.00;12,300.00;2,473,900
Mar 31, 2025;12,250.00;12,400.00;12,150.00;12,200.00;12,200.00;6,287,900
Mar 28, 2025;12,750.00;12,750.00;12,400.00;12,400.00;12,400.00;2,941,600
