Date;Open;High;Low;Close    ;Adj Close ;Volume
May 7, 2025;25,350.00;25,500.00;25,350.00;25,400.00;25,400.00;11,852,630
May 6, 2025;25,750.00;26,050.00;25,450.00;25,450.00;25,450.00;21,193,200
May 5, 2025;25,650.00;25,750.00;25,350.00;25,700.00;25,700.00;12,934,050
Apr 29, 2025;25,650.00;25,700.00;25,400.00;25,500.00;25,500.00;27,916,600
Apr 28, 2025;25,700.00;25,700.00;25,350.00;25,650.00;25,650.00;13,684,060
Apr 25, 2025;25,450.00;25,700.00;25,250.00;25,700.00;25,700.00;29,534,000
Apr 24, 2025;25,700.00;25,700.00;25,200.00;25,600.00;25,600.00;21,600,060
Apr 23, 2025;25,500.00;25,700.00;25,350.00;25,550.00;25,550.00;22,434,300
Apr 22, 2025;24,800.00;25,100.00;23,400.00;25,050.00;25,050.00;47,747,000
Apr 21, 2025;25,450.00;25,450.00;24,950.00;24,950.00;24,950.00;19,076,200
Apr 18, 2025;25,650.00;25,750.00;25,450.00;25,450.00;25,450.00;21,081,700
Apr 17, 2025;25,200.00;25,600.00;24,800.00;25,500.00;25,500.00;24,691,000
Apr 16, 2025;25,900.00;26,000.00;25,050.00;25,500.00;25,500.00;26,086,500
Apr 15, 2025;25,150.00;26,150.00;25,050.00;25,850.00;25,850.00;50,746,800
Apr 14, 2025;24,800.00;25,750.00;24,750.00;25,350.00;25,350.00;55,212,280
Apr 11, 2025;24,200.00;24,300.00;23,500.00;24,300.00;24,300.00;76,877,400
Apr 10, 2025;22,750.00;22,750.00;22,750.00;22,750.00;22,750.00;3,475,609
Apr 9, 2025;21,300.00;22,300.00;21,300.00;21,300.00;21,300.00;77,553,000
Apr 8, 2025;23,500.00;24,000.00;22,900.00;22,900.00;22,900.00;36,619,400
Apr 4, 2025;23,600.00;24,850.00;23,600.00;24,600.00;24,600.00;73,385,600
Apr 3, 2025;25,800.00;26,450.00;25,350.00;25,350.00;25,350.00;81,437,800
Apr 2, 2025;27,150.00;27,400.00;27,100.00;27,250.00;27,250.00;16,872,400
