Date;Open;High;Low;Close     ;Adj Close ;Volume
May 7, 2025;56,900.00;57,700.00;56,900.00;57,200.00;57,200.00;2,910,910
May 6, 2025;57,000.00;57,400.00;56,900.00;56,900.00;56,900.00;2,555,912
May 5, 2025;57,500.00;57,600.00;56,900.00;56,900.00;56,900.00;4,242,785
Apr 29, 2025;57,500.00;57,900.00;57,200.00;57,600.00;57,600.00;4,938,200
Apr 28, 2025;58,300.00;58,300.00;57,500.00;57,500.00;57,500.00;2,664,700
Apr 25, 2025;56,500.00;58,300.00;56,500.00;58,300.00;58,300.00;8,517,700
Apr 24, 2025;56,500.00;56,800.00;56,200.00;56,300.00;56,300.00;2,106,400
Apr 23, 2025;56,800.00;57,300.00;56,400.00;56,400.00;56,400.00;3,586,000
Apr 22, 2025;56,600.00;56,600.00;53,900.00;56,000.00;56,000.00;7,205,000
Apr 21, 2025;56,800.00;57,100.00;56,500.00;56,700.00;56,700.00;3,021,400
Apr 18, 2025;56,700.00;57,300.00;56,600.00;56,600.00;56,600.00;3,137,200
Apr 17, 2025;55,500.00;56,600.00;54,800.00;56,000.00;56,000.00;7,219,000
Apr 16, 2025;56,400.00;57,200.00;56,000.00;56,000.00;56,000.00;3,735,600
Apr 15, 2025;56,700.00;57,500.00;56,300.00;56,300.00;56,300.00;4,163,500
Apr 14, 2025;57,900.00;57,900.00;56,500.00;56,900.00;56,900.00;5,679,700
Apr 11, 2025;55,600.00;58,400.00;55,600.00;57,500.00;57,500.00;9,164,400
Apr 10, 2025;55,600.00;55,600.00;55,600.00;55,600.00;55,600.00;1,914,300
Apr 9, 2025;51,400.00;55,200.00;51,400.00;52,000.00;52,000.00;9,932,600
Apr 8, 2025;56,700.00;56,900.00;54,500.00;54,500.00;54,500.00;13,765,200
Apr 4, 2025;54,000.00;58,800.00;53,800.00;58,500.00;58,500.00;9,826,600
Apr 3, 2025;59,500.00;59,600.00;56,300.00;56,500.00;56,500.00;16,938,200
Apr 2, 2025;60,700.00;61,400.00;60,500.00;60,500.00;60,500.00;4,684,400
Apr 1, 2025;61,200.00;61,200.00;60,300.00;60,800.00;60,800.00;3,129,300
Mar 31, 2025;60,800.00;61,600.00;60,600.00;60,600.00;60,600.00;5,880,100
Mar 28, 2025;61,000.00;61,100.00;60,200.00;60,300.00;60,300.00;5,561,600
Mar 27, 2025;61,200.00;61,500.00;61,100.00;61,100.00;61,100.00;2,313,900
Mar 26, 2025;61,500.00;61,900.00;61,200.00;61,200.00;61,200.00;1,846,000
Mar 25, 2025;61,700.00;61,700.00;61,200.00;61,400.00;61,400.00;2,507,400
Mar 24, 2025;61,400.00;62,000.00;61,100.00;61,400.00;61,400.00;2,539,900
Mar 21, 2025;61,800.00;61,800.00;61,200.00;61,300.00;61,300.00;3,855,000
Mar 20, 2025;62,200.00;62,200.00;61,300.00;61,800.00;61,800.00;3,939,200
Mar 19, 2025;62,700.00;62,800.00;61,900.00;62,300.00;62,300.00;3,153,400
Mar 18, 2025;63,100.00;63,100.00;62,500.00;62,500.00;62,500.00;3,281,943
Mar 17, 2025;62,400.00;63,400.00;62,400.00;63,000.00;63,000.00;4,177,100
Mar 14, 2025;62,400.00;62,700.00;62,100.00;62,100.00;62,100.00;2,696,700
Mar 13, 2025;62,300.00;62,900.00;61,900.00;62,000.00;62,000.00;5,100,400
Mar 12, 2025;62,500.00;62,800.00;62,200.00;62,200.00;62,200.00;2,755,400
Mar 11, 2025;62,300.00;62,500.00;62,100.00;62,400.00;62,400.00;2,287,600
Mar 10, 2025;63,000.00;63,000.00;62,500.00;62,500.00;62,500.00;2,579,500
Mar 7, 2025;62,900.00;63,000.00;62,400.00;62,700.00;62,700.00;2,655,600
Mar 6, 2025;62,700.00;62,900.00;62,200.00;62,900.00;62,900.00;3,175,600
Mar 5, 2025;63,600.00;63,600.00;62,700.00;62,700.00;62,700.00;2,275,500
Mar 4, 2025;63,200.00;63,800.00;62,900.00;63,500.00;63,500.00;6,242,000
Mar 3, 2025;62,800.00;63,200.00;62,300.00;63,200.00;63,200.00;3,660,600
Feb 28, 2025;62,300.00;63,200.00;62,200.00;62,200.00;62,200.00;5,468,200
Feb 27, 2025;63,200.00;63,200.00;62,200.00;62,200.00;62,200.00;3,570,600
Feb 26, 2025;63,000.00;63,400.00;62,900.00;63,100.00;63,100.00;3,782,600
Feb 25, 2025;64,000.00;64,000.00;62,600.00;62,900.00;62,900.00;3,934,200
Feb 24, 2025;61,600.00;63,900.00;61,600.00;63,800.00;63,800.00;11,512,800
Feb 21, 2025;60,800.00;62,100.00;60,600.00;61,400.00;61,400.00;4,737,200
Feb 20, 2025;60,900.00;60,900.00;60,600.00;60,700.00;60,700.00;4,473,200
Feb 19, 2025;60,300.00;60,900.00;60,300.00;60,800.00;60,800.00;3,072,700
Feb 18, 2025;60,400.00;60,500.00;60,000.00;60,300.00;60,300.00;2,496,800
Feb 17, 2025;60,400.00;60,600.00;60,000.00;60,000.00;60,000.00;3,632,400
Feb 14, 2025;60,700.00;60,700.00;60,300.00;60,300.00;60,300.00;6,488,800
Feb 13, 2025;61,000.00;61,000.00;60,400.00;60,700.00;60,700.00;2,624,800
Feb 12, 2025;60,600.00;61,000.00;60,500.00;61,000.00;61,000.00;3,555,200
Feb 11, 2025;60,600.00;60,700.00;60,100.00;60,400.00;60,400.00;3,666,500
Feb 10, 2025;61,200.00;61,200.00;60,600.00;60,600.00;60,600.00;2,592,100
Feb 7, 2025;60,700.00;61,200.00;60,600.00;60,800.00;60,800.00;3,012,600
Feb 6, 2025;61,500.00;61,600.00;60,500.00;60,700.00;60,700.00;3,224,800
Feb 5, 2025;60,400.00;61,500.00;60,400.00;61,500.00;61,500.00;3,809,900
Feb 4, 2025;60,600.00;60,900.00;60,000.00;60,200.00;60,200.00;7,983,000
Feb 3, 2025;62,200.00;62,200.00;60,500.00;60,500.00;60,500.00;7,629,600
Jan 24, 2025;61,900.00;62,500.00;61,800.00;62,200.00;62,200.00;1,658,900
Jan 23, 2025;61,600.00;62,300.00;61,600.00;62,000.00;62,000.00;1,858,300
Jan 22, 2025;62,000.00;62,000.00;61,600.00;61,600.00;61,600.00;1,760,900
Jan 21, 2025;62,000.00;62,100.00;61,600.00;61,800.00;61,800.00;1,975,738
Jan 20, 2025;62,000.00;62,200.00;61,600.00;61,900.00;61,900.00;1,633,600
Jan 17, 2025;62,200.00;62,200.00;62,000.00;62,000.00;62,000.00;2,303,292
Jan 16, 2025;62,300.00;62,600.00;61,700.00;61,900.00;61,900.00;1,684,500
Jan 15, 2025;62,100.00;62,300.00;61,700.00;61,700.00;61,700.00;1,216,400
