Date;Open;High;Low;Close    ;Adj Close   ;Volume
May 7, 2025;109,600.00;111,200.00;108,900.00;109,700.00;109,700.00;4,391,567
May 6, 2025;108,600.00;111,000.00;108,600.00;109,700.00;109,700.00;6,745,106
May 5, 2025;109,500.00;109,700.00;106,900.00;108,600.00;108,600.00;7,639,587
Apr 29, 2025;109,600.00;110,500.00;109,100.00;109,400.00;109,400.00;6,209,900
Apr 28, 2025;112,000.00;112,400.00;109,200.00;109,500.00;109,500.00;4,126,000
Apr 25, 2025;112,000.00;112,400.00;110,200.00;112,400.00;112,400.00;6,714,100
Apr 24, 2025;111,500.00;113,700.00;110,600.00;112,000.00;112,000.00;8,259,900
Apr 23, 2025;111,700.00;111,700.00;107,700.00;110,400.00;110,400.00;7,275,800
Apr 22, 2025;111,000.00;111,200.00;104,000.00;110,400.00;110,400.00;10,242,300
Apr 21, 2025;112,000.00;112,500.00;110,000.00;111,700.00;111,700.00;4,362,300
Apr 18, 2025;110,500.00;115,000.00;110,500.00;111,600.00;111,600.00;8,432,500
Apr 17, 2025;105,000.00;111,300.00;104,900.00;109,400.00;109,400.00;12,137,200
Apr 16, 2025;114,500.00;115,900.00;107,900.00;107,900.00;107,900.00;18,892,200
Apr 15, 2025;116,100.00;117,000.00;113,700.00;116,000.00;116,000.00;7,849,400
Apr 14, 2025;120,000.00;120,000.00;114,000.00;118,500.00;118,500.00;9,389,300
Apr 11, 2025;117,000.00;118,500.00;114,300.00;118,500.00;118,500.00;19,261,500
Apr 10, 2025;112,600.00;112,600.00;112,600.00;112,600.00;112,600.00;2,040,200
Apr 9, 2025;97,800.00;108,000.00;97,800.00;105,300.00;105,300.00;18,389,300
Apr 8, 2025;106,000.00;108,000.00;105,100.00;105,100.00;105,100.00;16,589,700
Apr 4, 2025;105,600.00;113,900.00;105,600.00;113,000.00;113,000.00;21,849,500
Apr 3, 2025;114,700.00;117,600.00;113,500.00;113,500.00;113,500.00;11,574,900
Apr 2, 2025;121,200.00;122,300.00;120,800.00;122,000.00;122,000.00;3,920,200
Apr 1, 2025;122,000.00;122,200.00;118,800.00;120,500.00;120,500.00;8,304,728
Mar 31, 2025;123,400.00;123,400.00;121,000.00;121,000.00;121,000.00;5,519,302
Mar 28, 2025;126,100.00;126,400.00;124,000.00;124,000.00;124,000.00;3,027,000
Mar 27, 2025;122,000.00;126,500.00;121,100.00;126,200.00;126,200.00;7,224,400
Mar 26, 2025;126,500.00;126,500.00;122,700.00;123,000.00;123,000.00;11,419,200
Mar 25, 2025;129,800.00;129,900.00;126,500.00;126,500.00;126,500.00;5,629,200
Mar 24, 2025;128,500.00;129,300.00;127,300.00;129,000.00;129,000.00;5,090,200
Mar 21, 2025;125,000.00;129,000.00;125,000.00;128,000.00;128,000.00;6,424,800
Mar 20, 2025;124,600.00;126,800.00;124,500.00;125,000.00;125,000.00;8,708,600
Mar 19, 2025;130,100.00;130,600.00;123,500.00;124,600.00;124,600.00;19,264,400
Mar 18, 2025;130,100.00;132,200.00;130,000.00;130,000.00;130,000.00;5,628,500
Mar 17, 2025;131,600.00;132,100.00;129,600.00;130,000.00;130,000.00;7,623,000
Mar 14, 2025;135,600.00;136,300.00;130,800.00;131,400.00;131,400.00;16,251,000
Mar 13, 2025;136,100.00;138,000.00;136,100.00;136,500.00;136,500.00;3,710,200
Mar 12, 2025;137,700.00;138,700.00;135,900.00;135,900.00;135,900.00;6,365,000
Mar 11, 2025;138,000.00;138,500.00;137,000.00;137,500.00;137,500.00;6,164,400
Mar 10, 2025;141,500.00;141,500.00;139,200.00;139,300.00;139,300.00;5,681,800
Mar 7, 2025;141,700.00;142,700.00;141,100.00;141,400.00;141,400.00;3,436,000
Mar 6, 2025;139,500.00;143,500.00;139,500.00;141,600.00;141,600.00;6,511,200
Mar 5, 2025;140,000.00;140,100.00;139,100.00;139,100.00;139,100.00;2,851,100
Mar 4, 2025;139,500.00;140,600.00;139,300.00;140,000.00;140,000.00;4,024,595
Mar 3, 2025;140,500.00;141,400.00;140,300.00;140,500.00;140,500.00;2,933,900
Feb 28, 2025;140,100.00;141,100.00;139,000.00;140,300.00;140,300.00;6,943,200
Feb 27, 2025;142,000.00;142,200.00;140,700.00;141,300.00;141,300.00;3,921,700
Feb 26, 2025;139,100.00;141,800.00;138,900.00;141,800.00;141,800.00;3,973,500
Feb 25, 2025;140,400.00;140,400.00;138,200.00;139,000.00;139,000.00;7,334,400
Feb 24, 2025;142,000.00;142,000.00;139,500.00;140,500.00;140,500.00;7,517,901
Feb 21, 2025;142,800.00;142,900.00;141,500.00;142,000.00;142,000.00;5,332,600
Feb 20, 2025;144,200.00;144,600.00;143,000.00;143,000.00;143,000.00;3,385,400
Feb 19, 2025;143,900.00;144,900.00;143,100.00;144,000.00;144,000.00;3,469,801
Feb 18, 2025;143,800.00;144,400.00;143,100.00;143,900.00;143,900.00;1,664,100
Feb 17, 2025;145,000.00;145,000.00;143,400.00;143,600.00;143,600.00;2,816,300
Feb 14, 2025;144,000.00;145,000.00;143,600.00;144,900.00;144,900.00;3,251,709
Feb 13, 2025;145,000.00;145,000.00;142,700.00;143,100.00;143,100.00;3,248,100
Feb 12, 2025;145,600.00;145,700.00;144,300.00;145,000.00;145,000.00;2,035,451
Feb 11, 2025;142,200.00;145,400.00;140,100.00;145,400.00;145,400.00;7,361,400
Feb 10, 2025;145,500.00;145,500.00;142,000.00;142,000.00;142,000.00;7,749,600
Feb 7, 2025;146,500.00;146,700.00;145,800.00;146,100.00;146,100.00;4,365,900
Feb 6, 2025;147,000.00;147,300.00;145,600.00;146,500.00;146,500.00;3,724,601
Feb 5, 2025;146,900.00;147,500.00;145,800.00;146,300.00;146,300.00;5,344,100
Feb 4, 2025;146,000.00;147,000.00;145,300.00;146,200.00;146,200.00;7,250,700
Feb 3, 2025;148,000.00;149,200.00;145,300.00;145,500.00;145,500.00;12,863,200
Jan 24, 2025;154,100.00;154,500.00;153,400.00;153,400.00;153,400.00;3,950,706
Jan 23, 2025;150,100.00;156,000.00;150,000.00;154,300.00;154,300.00;8,459,101
Jan 22, 2025;149,600.00;150,600.00;149,200.00;149,700.00;149,700.00;4,066,602
Jan 21, 2025;150,500.00;151,400.00;149,000.00;149,900.00;149,900.00;3,475,801
Jan 20, 2025;149,000.00;150,400.00;148,200.00;150,000.00;150,000.00;2,297,711
Jan 17, 2025;146,600.00;150,100.00;146,000.00;149,000.00;149,000.00;3,900,004
Jan 16, 2025;146,200.00;147,000.00;145,200.00;146,500.00;146,500.00;3,856,703
Jan 15, 2025;146,000.00;146,500.00;144,800.00;145,500.00;145,500.00;3,450,803
Jan 14, 2025;147,600.00;148,000.00;145,100.00;145,100.00;145,100.00;4,304,503
Jan 13, 2025;146,100.00;148,500.00;144,700.00;147,600.00;147,600.00;5,156,707
Jan 10, 2025;148,800.00;149,100.00;147,200.00;147,300.00;147,300.00;2,737,703
Jan 9, 2025;148,300.00;149,200.00;148,000.00;148,800.00;148,800.00;1,964,401
Jan 8, 2025;150,000.00;150,000.00;148,100.00;148,300.00;148,300.00;3,879,902
Jan 7, 2025;149,500.00;151,300.00;149,500.00;150,100.00;150,100.00;4,053,304
Jan 6, 2025;149,100.00;150,200.00;148,400.00;149,300.00;149,300.00;3,467,104
Jan 3, 2025;151,300.00;151,300.00;149,000.00;149,000.00;149,000.00;6,446,104
Jan 2, 2025;152,500.00;152,700.00;150,100.00;152,000.00;152,000.00;6,190,801
Dec 31, 2024;150,700.00;153,900.00;150,300.00;152,500.00;152,500.00;4,803,202
Dec 30, 2024;149,400.00;150,800.00;148,500.00;150,500.00;150,500.00;3,195,406
Dec 27, 2024;149,500.00;149,900.00;148,700.00;149,600.00;149,600.00;4,611,705
Dec 26, 2024;151,000.00;151,400.00;149,100.00;149,800.00;149,800.00;2,943,303
Dec 25, 2024;150,600.00;151,200.00;150,400.00;150,800.00;150,800.00;4,668,104
Dec 24, 2024;150,000.00;150,800.00;149,400.00;150,400.00;150,400.00;4,037,903
Dec 23, 2024;149,500.00;149,900.00;148,700.00;149,800.00;149,800.00;4,310,913
Dec 20, 2024;148,500.00;150,600.00;148,300.00;149,500.00;149,500.00;4,735,802
Dec 19, 2024;147,300.00;149,000.00;147,200.00;148,100.00;148,100.00;5,824,454
Dec 18, 2024;148,000.00;149,800.00;148,000.00;148,700.00;148,700.00;3,539,440
Dec 17, 2024;150,100.00;150,500.00;147,700.00;148,000.00;148,000.00;7,365,505
Dec 16, 2024;149,600.00;150,600.00;149,500.00;149,900.00;149,900.00;5,670,912
Dec 13, 2024;149,500.00;150,900.00;149,400.00;149,500.00;149,500.00;4,864,805
Dec 12, 2024;151,900.00;151,900.00;149,200.00;150,200.00;150,200.00;5,652,707
Dec 11, 2024;150,000.00;151,700.00;149,700.00;150,500.00;150,500.00;9,266,607
Dec 10, 2024;147,100.00;149,500.00;147,000.00;149,500.00;149,500.00;4,287,206
Dec 9, 2024;149,200.00;149,500.00;146,100.00;147,000.00;147,000.00;5,899,005
Dec 6, 2024;151,900.00;151,900.00;148,000.00;149,500.00;149,500.00;5,003,200
Dec 5, 2024;144,000.00;148,500.00;143,600.00;148,500.00;148,500.00;8,805,101
Dec 4, 2024;145,000.00;146,300.00;142,800.00;143,500.00;143,500.00;7,748,901
Dec 3, 2024;141,700.00;145,900.00;141,700.00;145,000.00;145,000.00;6,971,700
Dec 2, 2024;1000 Dividend;;;;;
Dec 2, 2024;144,300.00;146,000.00;141,600.00;142,200.00;142,200.00;7,940,530
Nov 29, 2024;139,400.00;145,400.00;139,000.00;144,300.00;143,300.00;13,487,700
Nov 28, 2024;139,400.00;140,000.00;138,300.00;139,400.00;138,433.95;7,158,700
Nov 27, 2024;135,200.00;139,700.00;135,200.00;138,900.00;137,937.42;13,316,300
Nov 26, 2024;133,400.00;135,900.00;133,300.00;135,200.00;134,263.06;4,501,100
Nov 25, 2024;134,000.00;134,000.00;133,200.00;133,900.00;132,972.08;6,637,700
Nov 22, 2024;132,900.00;134,400.00;132,500.00;133,900.00;132,972.08;5,575,900
Nov 21, 2024;132,400.00;133,000.00;131,000.00;133,000.00;132,078.31;4,329,001
Nov 20, 2024;130,000.00;132,400.00;126,700.00;132,400.00;131,482.47;9,620,300
Nov 19, 2024;133,500.00;133,600.00;129,900.00;130,000.00;129,099.10;9,152,800
Nov 18, 2024;134,000.00;134,600.00;132,500.00;134,000.00;133,071.38;3,993,401
Nov 15, 2024;135,300.00;135,700.00;132,600.00;133,900.00;132,972.08;6,563,600
Nov 14, 2024;137,900.00;139,900.00;136,000.00;136,000.00;135,057.52;4,911,301
Nov 13, 2024;136,700.00;138,100.00;136,100.00;137,800.00;136,845.05;3,625,400
Nov 12, 2024;138,600.00;138,900.00;135,900.00;136,800.00;135,851.98;2,964,700
Nov 11, 2024;136,500.00;139,500.00;136,000.00;138,300.00;137,341.58;5,292,000
Nov 8, 2024;136,100.00;136,800.00;135,100.00;135,800.00;134,858.91;2,106,300
Nov 7, 2024;135,300.00;137,600.00;134,200.00;135,100.00;134,163.77;4,526,500
Nov 6, 2024;133,100.00;134,600.00;133,000.00;134,600.00;133,667.22;1,801,500
Nov 4, 2024;134,600.00;134,600.00;132,700.00;132,800.00;131,879.70;3,757,900
Nov 1, 2024;135,000.00;135,000.00;133,600.00;134,600.00;133,667.22;2,667,500
Oct 31, 2024;135,900.00;136,000.00;135,300.00;135,900.00;134,958.22;1,341,700
Oct 29, 2024;135,400.00;135,500.00;134,800.00;135,400.00;134,461.67;2,649,200
Oct 28, 2024;134,100.00;135,000.00;133,600.00;134,900.00;133,965.14;1,506,001
Oct 25, 2024;134,300.00;134,600.00;133,600.00;134,000.00;133,071.38;1,839,000
Oct 24, 2024;134,200.00;134,300.00;133,800.00;134,300.00;133,369.30;2,277,201
Oct 23, 2024;132,900.00;134,800.00;132,600.00;134,200.00;133,270.00;3,015,101
Oct 22, 2024;135,700.00;135,700.00;133,000.00;133,100.00;132,177.63;6,174,500
Oct 21, 2024;137,000.00;137,700.00;135,500.00;135,500.00;134,560.98;2,861,300
Oct 18, 2024;137,400.00;137,800.00;136,600.00;137,000.00;136,050.59;2,169,401
Oct 17, 2024;136,500.00;137,100.00;135,500.00;137,000.00;136,050.59;3,769,200
Oct 16, 2024;136,400.00;137,100.00;136,000.00;136,300.00;135,355.44;2,796,001
Oct 15, 2024;137,600.00;138,600.00;136,600.00;137,000.00;136,050.59;2,910,800
Oct 14, 2024;141,100.00;141,300.00;137,100.00;137,600.00;136,646.44;5,635,300
Oct 11, 2024;142,000.00;142,800.00;139,600.00;139,600.00;138,632.58;3,863,600
Oct 10, 2024;135,800.00;142,000.00;135,800.00;141,700.00;140,718.02;10,102,200
Oct 9, 2024;134,300.00;135,800.00;134,300.00;135,400.00;134,461.67;2,819,900
Oct 8, 2024;134,100.00;135,100.00;133,600.00;133,800.00;132,872.77;2,108,601
Oct 7, 2024;134,200.00;134,900.00;133,600.00;134,100.00;133,170.69;1,901,501
Oct 4, 2024;134,300.00;134,800.00;133,500.00;134,100.00;133,170.69;1,468,400
Oct 3, 2024;135,400.00;136,100.00;134,000.00;134,000.00;133,071.38;3,631,801
Oct 2, 2024;134,600.00;135,900.00;134,600.00;135,400.00;134,461.67;2,369,200
Oct 1, 2024;134,700.00;136,200.00;134,700.00;135,900.00;134,958.22;6,887,000
Sep 30, 2024;134,200.00;134,500.00;133,000.00;134,500.00;133,567.92;3,278,500
Sep 27, 2024;134,300.00;134,400.00;133,500.00;134,200.00;133,270.00;3,552,800
Sep 26, 2024;135,000.00;135,000.00;133,900.00;134,300.00;133,369.30;3,080,600
Sep 25, 2024;134,300.00;134,800.00;133,600.00;134,800.00;133,865.84;4,679,900
Sep 24, 2024;134,000.00;134,700.00;133,700.00;134,500.00;133,567.92;2,755,516
Sep 23, 2024;135,900.00;135,900.00;133,400.00;134,000.00;133,071.38;3,482,200
Sep 20, 2024;136,300.00;137,000.00;135,000.00;135,300.00;134,362.38;3,719,700
Sep 19, 2024;135,000.00;135,800.00;134,300.00;135,200.00;134,263.06;5,154,300
Sep 18, 2024;133,400.00;135,200.00;132,900.00;134,600.00;133,667.22;5,449,600
Sep 17, 2024;131,200.00;132,900.00;131,200.00;132,900.00;131,979.00;3,621,400
Sep 16, 2024;131,800.00;133,000.00;131,100.00;131,100.00;130,191.48;2,295,700
Sep 13, 2024;132,200.00;133,400.00;132,000.00;133,000.00;132,078.31;3,935,700
Sep 12, 2024;131,000.00;132,500.00;131,000.00;132,300.00;131,383.16;4,368,000
Sep 11, 2024;130,000.00;131,300.00;129,800.00;130,600.00;129,694.95;3,590,400
Sep 10, 2024;131,000.00;131,000.00;129,600.00;130,000.00;129,099.10;4,195,101
Sep 9, 2024;130,800.00;131,900.00;130,100.00;131,300.00;130,390.09;2,885,201
Sep 6, 2024;130,500.00;132,900.00;130,300.00;132,100.00;131,184.55;4,251,400
Sep 5, 2024;133,000.00;133,000.00;129,700.00;130,600.00;129,694.95;8,055,600
Sep 4, 2024;133,000.00;133,000.00;131,500.00;133,000.00;132,078.31;4,935,200
Aug 30, 2024;133,500.00;134,900.00;133,000.00;134,800.00;133,865.84;3,379,800
Aug 29, 2024;132,800.00;133,800.00;132,200.00;133,700.00;132,773.45;2,637,701
Aug 28, 2024;133,000.00;134,500.00;132,900.00;133,300.00;132,376.23;2,909,701
Aug 26, 2024;133,300.00;133,500.00;131,500.00;131,500.00;130,588.70;2,758,200
Aug 23, 2024;133,700.00;133,700.00;132,400.00;133,100.00;132,177.63;3,325,001
Aug 22, 2024;134,000.00;134,500.00;133,500.00;133,800.00;132,872.77;3,560,500
Aug 21, 2024;130,600.00;133,800.00;130,600.00;133,500.00;132,574.84;6,471,900
