Date;Open;High;Low;Close;Adj Close;Volume
May 7, 2025;23,550.00;23,600.00;23,200.00;23,250.00;23,250.00;21,946,620
May 6, 2025;23,600.00;23,700.00;23,500.00;23,550.00;23,550.00;22,810,170
May 5, 2025;23,700.00;23,750.00;23,450.00;23,550.00;23,550.00;19,587,740
Apr 29, 2025;23,700.00;23,750.00;23,550.00;23,550.00;23,550.00;13,327,800
Apr 28, 2025;23,800.00;23,850.00;23,550.00;23,700.00;23,700.00;23,070,500
Apr 25, 2025;23,500.00;23,750.00;23,300.00;23,550.00;23,550.00;40,909,200
Apr 24, 2025;23,400.00;23,400.00;23,050.00;23,250.00;23,250.00;18,099,100
Apr 23, 2025;23,450.00;23,700.00;23,100.00;23,400.00;23,400.00;33,860,600
Apr 22, 2025;22,850.00;23,150.00;21,550.00;23,100.00;23,100.00;45,405,000
Apr 21, 2025;23,500.00;23,500.00;22,800.00;22,950.00;22,950.00;37,143,800
Apr 18, 2025;23,100.00;23,450.00;23,050.00;23,250.00;23,250.00;32,262,900
Apr 17, 2025;22,700.00;23,000.00;22,600.00;23,000.00;23,000.00;21,593,500
Apr 16, 2025;23,000.00;23,250.00;22,750.00;22,900.00;22,900.00;21,927,000
Apr 15, 2025;23,000.00;23,400.00;22,900.00;23,000.00;23,000.00;29,512,300
Apr 14, 2025;23,500.00;23,550.00;23,150.00;23,450.00;23,450.00;31,742,100
Apr 11, 2025;22,500.00;23,500.00;22,400.00;23,450.00;23,450.00;78,980,400
Apr 10, 2025;22,050.00;22,050.00;22,050.00;22,050.00;22,050.00;3,818,165
Apr 9, 2025;19,450.00;21,400.00;19,450.00;20,650.00;20,650.00;61,224,580
Apr 8, 2025;21,150.00;21,900.00;20,900.00;20,900.00;20,900.00;67,764,110
Apr 4, 2025;21,100.00;22,450.00;21,100.00;22,450.00;22,450.00;75,397,780
Apr 3, 2025;23,600.00;23,700.00;22,650.00;22,650.00;22,650.00;87,853,100
Apr 2, 2025;24,600.00;24,650.00;24,350.00;24,350.00;24,350.00;10,558,900
Apr 1, 2025;24,150.00;24,600.00;24,000.00;24,600.00;24,600.00;15,642,910
